strategy,top_k,source_order,spiral_turns,pair_count,coverage,crossings,node_intrusions,mean_imbalance,mean_net_flow,total_tree_length,mean_detour_ratio,max_detour_ratio,total_represented_flow,level,n_regions
raw_directed,40,descending_outflow,1.1,40.0,0.7430252795417901,28.0,7.0,1.0,6382.55,3308832.4809230184,1.0,1.0,343598.0,province,12
greedy_spiral_tree,40,descending_outflow,1.1,40.0,0.9257795447004931,77.0,4.0,0.16038205478987105,1060.5,4550225.181805217,1.2037334653711391,1.7808821308930542,343598.0,province,12
enhanced_greedy_spiral_tree,40,descending_outflow,1.1,40.0,0.9257795447004931,85.0,5.0,0.16038205478987105,1060.5,4622580.976099482,1.2171043066480522,1.535822876099363,343598.0,province,12
obstacle_aware_spiral_tree,40,descending_outflow,1.1,40.0,0.9257795447004931,74.0,6.0,0.16038205478987105,1060.5,4530936.867456978,1.1966824911356468,1.4720960443179116,343598.0,province,12
raw_directed,100,descending_outflow,1.1,100.0,0.16316393863230447,8.0,290.0,1.0,1310.04,2065956.5326259357,1.0,1.0,802898.0,municipality,342
greedy_spiral_tree,100,descending_outflow,1.1,100.0,0.22351033381575244,6.0,295.0,0.1889914720635232,351.88,2235641.742840092,1.2697627072424524,2.0446292478437593,802898.0,municipality,342
enhanced_greedy_spiral_tree,100,descending_outflow,1.1,100.0,0.22351033381575244,7.0,288.0,0.1889914720635232,351.88,2207881.440197633,1.2391969613460776,1.7339851918180715,802898.0,municipality,342
obstacle_aware_spiral_tree,100,descending_outflow,1.1,100.0,0.22351033381575244,6.0,279.0,0.1889914720635232,351.88,2177141.2531212647,1.2265796544139724,2.074121663669355,802898.0,municipality,342
